Title,Desc,Type,BodyPart,Equipment,Level,Rating,RatingDesc,Sets,Reps per Set,Goal
Pallof press,"The Pallof press is an isometric exercise that trains core stability. It involves resisting rotation from a cable or band, developing what is sometimes called ""anti-rotation"" core strength. It is most often seen in programs for athletes who compete in sports that test strength, power, and functional movements. It can be trained in timed holds or for reps by pressing the cable or band away from the body.",Strength,Abdominals,Other,Intermediate,8.4,Average,3,8,Muscle Gain
Weighted Sit-Ups - With Bands,"The weighted sit-up is a more difficult version of a highly popular abdominal movement. The simple addition of a weight makes the sit-up far more difficult, providing a different stimulus to the core during training and helping build strong abs.",Strength,Abdominals,Other,Intermediate,8,Average,3,8,Muscle Gain
Suitcase crunch,"The suitcase crunch is a bodyweight movement that targets the muscles of the abs, the rectus abdominis or ""six-pack"" muscles in particular. It is similar to a V-up, but the lower back stays flat against the ground. It can be performed for time or reps in the ab-focused portion of any workout.",Strength,Abdominals,Other,Intermediate,0,Average,3,8,Muscle Gain
Standing cable low-to-high twist,"The standing cable low-to-high twist is a core exercise targeting the upper abdominals and the obliques. Take care to perform it with control, as opposed to violent twisting which can injure the back. It is usually performed for moderate to high reps, at least 8-15 per side, as part of the core-focused portion of a workout.",Strength,Abdominals,Cable,Intermediate,9.3,Average,3,8,Muscle Gain
Single-arm high-cable side bend,The single-arm high-cable side bend is an exercise targeting the obliques using a cable stack machine.,Strength,Abdominals,Cable,Intermediate,9.1,Average,3,8,Muscle Gain
Kneeling cable oblique crunch,"The kneeling cable oblique crunch is a popular core isolation exercise using a rope attachment and cable stack while kneeling on the floor. It primarily targets the obliques and rectus abdominis or ""six-pack"" muscles, but also strengthens the deep core muscles. It is most commonly performed for moderate to high reps, such as 8-12 reps per set or higher.",Strength,Abdominals,Cable,Intermediate,9,Average,3,8,Muscle Gain
Kneeling cable crunch,"The kneeling cable crunch is a popular core isolation exercise using a rope attachment and cable stack while kneeling on the floor. It primarily targets the rectus abdominis or ""six-pack"" muscles, but also strengthens the deep core muscles. It is most commonly performed early in an ab workout, usually in moderate to high reps, such as 8-12 reps per set or higher.",Strength,Abdominals,Cable,Intermediate,8.9,Average,3,8,Muscle Gain
Rope Crunch,"The kneeling cable crunch is a popular core isolation exercise using a rope attachment and cable stack while kneeling on the floor. It primarily targets the rectus abdominus or ""six-pack"" muscles, but also strengthens the deep core muscles. It is most commonly performed early in an ab workout, usually in moderate to high reps like 8-12 reps per set or higher.",Strength,Abdominals,Cable,Intermediate,8.6,Average,3,8,Muscle Gain
Standing cable crunch,"The standing cable crunch is a popular core isolation exercise using a rope attachment. It primarily targets the rectus abdominis or ""six-pack"" muscles, but also strengthens the deep core muscles. It is most commonly performed early in an ab workout, usually in moderate to high reps, such as 8-12 reps per set or higher.",Strength,Abdominals,Cable,Intermediate,8.6,Average,3,8,Muscle Gain
Standing Cable Wood Chop,The standing cable high-to-low twist is a core exercise targeting the lower abdominals and the obliques.,Strength,Abdominals,Cable,Intermediate,8.2,Average,3,8,Muscle Gain
Cable reverse crunch,"The cable reverse crunch is performed on the ground facing away from a high pulley, which helps target the lower abdominals specifically.",Strength,Abdominals,Cable,Beginner,8.2,Average,3,8,Muscle Gain
Pallof press with rotation,The Pallof press with rotation is a dynamic variation of the Pallof press that incorporates weighted rotation away from the torso using resistance from a cable pulley. It is intended to build abdominal strength and teach proper bracing. It can be performed for time or for reps in the core-focused portion of any workout.,Strength,Abdominals,Cable,Intermediate,7.9,Average,3,8,Muscle Gain
Ab Crunch Machine,"The machine crunch is a machine-based exercise targeting the abdominal muscles. It involves sitting upright in the machine and curling the torso down toward the chest against some pre-set level of resistance. On some machines, the knees also curl up torward the torso. Crunch machines usually use extra resistance in the form of selectorized weight stacks or plate loading, and are often performed for moderate to high reps, like 8-12 reps per set or higher, as part of the ab-focused portion of a workout.",Strength,Abdominals,Machine,Intermediate,8,Average,3,8,Muscle Gain
Smith machine straight-legged hip raise,"The Smith machine straight-legged hip raise is an exercise targeting the abdominal muscles. Because of the potential awkwardness of getting into position, it is usually performed for moderate to high reps, such as 8-12 reps per set or more. If your Smith machine has safety bars, set them at a height that allows you a full range of motion while giving adequate protection from the weight potentially falling.",Strength,Abdominals,Machine,Intermediate,8,Average,3,8,Muscle Gain
Elbow plank,"The elbow plank is a popular isometric abdominal exercise. It is common in all types of exercise programs, as well as in group fitness and yoga classes. It targets the muscles of the core, the deep core or transversus abdominis in particular. It is also often prescribed for time to help back pain or to teach proper bracing.",Strength,Abdominals,Body Only,Intermediate,9.3,Average,3,8,Muscle Gain
Bottoms Up,"The lying leg lift is a popular bodyweight exercise targeting the muscles of the abs, the rectus abdominis or “six-pack” muscles in particular. It can be performed for time or reps in the core-focused portion of any workout.",Strength,Abdominals,Body Only,Intermediate,9.3,Average,3,8,Muscle Gain
Spider crawl,"The spider crawl is a bodyweight exercise that involves crawling on the floor with the knees outside of the elbows. It is different from a leopard crawl in that the hips are higher, and it's different from a bear crawl because the knees are wider. It can be done as a full-body warm-up, in short bursts for power or circuit training, or for longer durations as cardiovascular conditioning.",Strength,Abdominals,Body Only,Intermediate,9.2,Average,3,8,Muscle Gain
Cocoons,"The cocoon crunch is a bodyweight exercise targeting the ab muscles, the rectus abdominis or ""six-pack"" muscles in particular. It involves bringing your knees to your chest and your arms from overhead to center. It can be performed for time or reps as part of the ab-focused portion of any workout.",Strength,Abdominals,Body Only,Intermediate,9.1,Average,3,8,Muscle Gain
Cross-Body Crunch,"The elbow-to-knee crunch is a bodyweight exercise targeting the ab muscles, the obliques and rectus abdominis or ""six-pack"" muscles in particular. It can be performed for time or reps as part of the ab-focused portion of any workout.",Strength,Abdominals,Body Only,Intermediate,9.1,Average,3,8,Muscle Gain
Elbow-to-knee crunch,"The elbow-to-knee crunch is a bodyweight exercise targeting the ab muscles, the obliques and rectus abdominis or ""six-pack"" muscles in particular. It can be performed for time or reps as part of the ab-focused portion of any workout.",Strength,Abdominals,Body Only,Intermediate,9.1,Average,3,8,Muscle Gain
Decline Crunch,The decline crunch is an effective core exercise targeting the rectus abdominis.,Strength,Abdominals,Body Only,Intermediate,9,Average,3,8,Muscle Gain
Hanging toes-to-bar,"The hanging toes-to-bar is an advanced abdominal exercise in which the lifter touches their feet to a pull-up bar. There are many ways to perform this movement (strict or swinging, arms completely straight or slightly bent, legs straight or bent) each providing unique benefits and challenges. Initially, it may be a difficult move to do for a single rep, but once you build the requisite core, lat, and shoulder strength, it can be performed for higher reps.",Strength,Abdominals,Body Only,Intermediate,9,Average,3,8,Muscle Gain
Hanging Oblique Knee Raise,"The hanging oblique crunch an abdominal exercise that targets both the rectus abdominus or “six-pack” muscles, and the oblique muscles. It can be performed hanging from a bar, or if grip strength is a limitation, by placing the elbows in ab straps. If hanging from a straight bar is uncomfortable to the wrists or shoulder, you can also perform them hanging with a neutral grip (palms facing one another)",Strength,Abdominals,Body Only,Intermediate,9,Average,3,8,Muscle Gain
Hanging leg raise,"The hanging leg raise is an exercise targeting the abs, but which also works the lats and hip flexors. Instead of resting your forearms on the pads of a captain's chair, you perform these hanging from a bar. Experienced lifters make these look easy, but beginners may need time to build up to sets of 8-12 reps.",Strength,Abdominals,Body Only,Intermediate,8.9,Average,3,8,Muscle Gain
Mountain climber,"The mountain climber is a popular bodyweight exercise targeting the muscles of the core, as well as the shoulders, hips, and cardiovascular system. It involves lifting one knee to the chest at a time from a straight-arm plank position. It can be performed for time or reps as part of a dynamic warm-up, for bodyweight cardio or conditioning, or as no-equipment dynamic core training.",Plyometrics,Abdominals,Body Only,Intermediate,8.8,Average,3,10,General Fitness
Ab bicycle,"The ab bicycle is a bodyweight movement that targets the muscles of the abs, the obliques and rectus abdominis or ""six-pack"" muscles in particular. It can be performed for time or reps in the ab-focused portion of any workout.",Strength,Abdominals,Body Only,Intermediate,8.8,Average,3,8,Muscle Gain
3/4 sit-up,"The 3/4 sit-up is a bodyweight exercise focused on the muscles of the core. It is similar to a sit-up, but stops short of the top position. This keeps constant tension on the abs, making it more difficult than traditional sit-ups. It can be performed for time or for reps, with the feet anchored or free, as part of the ab-focused portion of any workout.",Strength,Abdominals,Body Only,Intermediate,8.8,Average,3,8,Muscle Gain
Reverse crunch,"The reverse crunch is a popular exercise targeting the abdominals, particularly the lower half. It’s easy to perform on either the floor or a flat bench. Many lifters think of this as a companion to the crunch, which targets the upper abdominals more than the lower.",Strength,Abdominals,Body Only,Intermediate,8.8,Average,3,8,Muscle Gain
Crunches,"The crunch is a popular core exercise targeting the rectus abdominis, or ""six-pack"" muscles, as well as the obliques. It has been the centerpiece of many ab-focused workouts, due to both its simplicity and the intense burn and mind-muscle connection it produces. It can be performed for time or reps as part of the ab-focused portion of any workout.",Strength,Abdominals,Body Only,Intermediate,8.7,Average,3,8,Muscle Gain
Dead bug reach,"The dead bug reach is an exercise for strengthening the core in which you alternate lowering your opposing arm and leg simultaneously, controlling the movement with the abdominal muscles. It can be part of a dynamic warm-up to activate the core for other athletics or lifting, or be performed in a circuit or on its own in the ab-focused portion of any workout.",Strength,Abdominals,Body Only,Intermediate,8.6,Average,3,8,Muscle Gain
V-up,"The V-up is a bodyweight movement that targets the muscles of the abs, the rectus abdominis or ""six-pack"" muscles in particular. It is similar to a suitcase crunch, but the lower back lifts off the ground at the top of each rep. It can be performed for time or reps in the ab-focused portion of any workout.",Strength,Abdominals,Body Only,Intermediate,8.5,Average,3,8,Muscle Gain
Russian twist,"The Russian twist is an exercise targeting the abdominals and the obliques. Beginning from a position that resembles stopping midway through a sit-up, it involves twisting side to side. It can be performed with body weight alone or while holding a weight plate or other object. It is performed by alternating sides with each rep and can be done for time or for a specific number of reps as part of the ab-focused portion of any workout.",Strength,Abdominals,Body Only,Intermediate,8.4,Average,3,8,Muscle Gain
Flat Bench Lying Leg Raise,"The lying leg lift is a popular bodyweight exercise targeting the muscles of the abs, the rectus abdominis or “six-pack” muscles in particular. It can be performed for time or reps in the core-focused portion of any workout.",Strength,Abdominals,Body Only,Intermediate,8.4,Average,3,8,Muscle Gain
Knees tucked crunch,"The knees tucked crunch is a core exercise that involves performing a crunch while keeping the knees bent in a 90-degree position. It primarily targets the rectus abdominis or ""six-pack"" muscles. It can be performed for time or reps as part of any abs-focused circuit or workout.",Strength,Abdominals,Body Only,Intermediate,8.4,Average,3,8,Muscle Gain
Feet-elevated oblique crunch,"The feet-elevated oblique crunch is a variation on the crunch exercise that targets the obliques as well as the rectus abdominis or ""six-pack"" muscles. Resting the feet on a bench takes some of the hip flexor activation out of the movement, focusing the stress more on the abs.",Strength,Abdominals,Body Only,Intermediate,8.3,Average,3,8,Muscle Gain
Bent-knee reverse crunch,"The bent-knee reverse crunch is a popular bodyweight core exercise. It targets the lower portion of the rectus abdominis or ""six-pack"" muscles. It can be performed for time or reps as part of any ab-focused workout.",Strength,Abdominals,Body Only,Intermediate,8.1,Average,3,8,Muscle Gain
Alternating heel-touch,"The alternating heel-touch is a popular bodyweight exercise that targets the obliques, as well as the rectus abdominis, or ""six-pack"" muscles. It can be performed for time or reps as part of any abs-focused circuit or workout.",Strength,Abdominals,Body Only,Intermediate,8,Average,3,8,Muscle Gain
Lying bench reverse crunch,"The lying bench reverse crunch is a popular ab exercise performed by bringing the knees toward the chest while lying on a bench. It is largely similar to the same exercise performed on the floor, but being able to press the lower back into the bench pad can help reinforce proper form and increase the burn in the abs. Like most crunch variations, it is usually performed for moderate to high reps, such as 8-12 reps per set or more.",Strength,Abdominals,Body Only,Intermediate,7.7,Average,3,8,Muscle Gain
Sit-up,"The sit-up is a popular bodyweight exercise focused on the abdominal muscles. It has also been used as part of military, tactical, and scholastic fitness tests for many years. It can be performed for time or reps, with the feet anchored or free, on flat ground or a bench.",Strength,Abdominals,Body Only,Intermediate,7.5,Average,3,8,Muscle Gain
Side Bridge,"The side plank is a popular isometric abdominal exercise focusing on the oblique muscles, as well as the transversus abdominis or deep core muscles. It is sometimes paired with the curl up and bird dog as the “McGill big three” for core strength and stability. It is performed for time and can work in a warm-up or in the core-focused portion of any workout.",Strength,Abdominals,Body Only,Intermediate,7.5,Average,3,8,Muscle Gain
Lying oblique crunch,The lying oblique crunch is a bodyweight exercise targeting the oblique muscles. It can be performed for a specific number of reps or to fatigue or failure as part of the ab-focused portion of any workout.,Strength,Abdominals,Body Only,Intermediate,7.4,Average,3,8,Muscle Gain
Leg Pull-In,"The reverse crunch is a popular exercise targeting the abdominals, particularly the lower half. It’s easy to perform on either the floor or a flat bench. Many lifters think of this as a companion to the crunch, which targets the upper abdominals more than the lower.",Strength,Abdominals,Body Only,Beginner,7.4,Average,3,8,Muscle Gain
Toe Touchers,"The toe-touch is a bodyweight movement that targets the muscles of the abs, the rectus abdominis or ""six-pack"" muscles in particular. It can be performed for time or reps in the ab-focused portion of any workout.",Stretching,Abdominals,Body Only,Intermediate,6.9,Average,3,10,General Fitness
Exercise ball torso rotation,"The exercise ball torso rotation is a rotational abdominal exercise performed while holding a yoga or exercise ball between the hands. It focuses on the rotational muscles of the core, including the obliques, glutes, and hip muscles. It can be performed one side at a time or alternating, either for time or reps. To make it more difficult, wrap a light exercise band around the ball and anchor it to a solid object.",Stretching,Abdominals,Body Only,Intermediate,5,Average,3,10,General Fitness
Exercise ball knee roll-in,The exercise ball knee roll-in is an abdominal exercise that involves supporting yourself with your hands in a plank or push-up position and drawing the knees in toward the chest. This is a fairly advanced abdominal move requiring a fair amount of core strength.,Strength,Abdominals,Body Only,Intermediate,0,Average,3,8,Muscle Gain
Dumbbell suitcase crunch,"The dumbbell suitcase crunch is a weighted version of a popular abdominal training exercise. The simple addition of a weight makes the suitcase crunch far more difficult, helping build the ""six pack"" muscles and providing a different stimulus to the core during training.",Strength,Abdominals,Medicine Ball,Intermediate,9,Average,3,8,Muscle Gain
Medicine ball rotational throw,"The medicine ball rotational throw is an explosive exercise targeting the abdominals, including the obliques, as well as the hips and upper back. It involves standing sideways to the wall and twisting the torso to hurl a medicine ball into the wall, then catching the ball on the ricochet. It can be performed for lower reps with a focus on power, or for higher reps with a focus on fat loss and conditioning.",Strength,Abdominals,Medicine Ball,Intermediate,0,Average,3,8,Muscle Gain
Partner front Russian twist and pass,"The partner front Russian twist and pass is a weighted version of a popular abdominal training exercise that also utilizes a training partner to add another dynamic component. It targets the oblique muscles, as well as the deep muscles of the core and the rectus abdominis or ""six pack"" muscles. It can be done for reps or time in an ab-focused portion of any workout.",Strength,Abdominals,Medicine Ball,Beginner,0,Average,3,8,Muscle Gain
Exercise Ball Pull-In,The exercise ball knee roll-in is an abdominal exercise that involves supporting yourself with your hands in a plank or push-up position and drawing the knees in toward the chest. This is a fairly advanced abdominal move requiring core strength.,Strength,Abdominals,Exercise Ball,Intermediate,8.9,Average,3,8,Muscle Gain
Exercise ball crunch,"The exercise ball crunch is a popular gym exercise targeting the abdominals. Unlike crunches on the floor or a bench, by using a ball you can increase the range of motion and both stretch and contract the abs on every rep. The ball crunch can be performed for low reps with a slower tempo focusing on a hard contraction, or for higher reps.",Strength,Abdominals,Exercise Ball,Intermediate,8.4,Average,3,8,Muscle Gain
Feet-elevated crunch,"The feet-elevated crunch is a variation on the basic crunch, a very popular ab move. Resting the feet on a bench takes some of the hip flexor activation out of the movement, focusing the stress more on the abs. It may have a small range of motion, but this movement produces a major burn.",Strength,Abdominals,Exercise Ball,Intermediate,7.3,Average,3,8,Muscle Gain
Iliotibial band SMR,"Iliotibial band self-myofascial release (SMR) is a self-administered soft-tissue treatment for the lower body, usually using a foam roller or other ""trigger point"" massage tool. By applying pressure strategically to the IT band along the side of the upper leg, some people find they can cause this often painful and tight area to relax or ""release."" IT band SMR is often accompanied by SMR on the glute or quad muscles, or by stretches that target the glutes or quads.",Stretching,Abductors,Foam Roll,Intermediate,8.2,Average,3,10,General Fitness
Adductor SMR,"Adductor self-myofascial release (SMR) is a self-administered soft-tissue treatment for the lower body, usually using a foam roller, lacrosse ball, or other ""trigger point"" massage tool. By applying pressure strategically to the adductor muscles in the inner thigh region, some people find they can cause this often painful and tight muscle to relax or ""release."" Adductor SMR is often accompanied by SMR on the iliotibial (IT) band or glutes (TFL muscles), or by stretches that target the adductors.",Stretching,Adductors,Foam Roll,Beginner,4,Average,3,10,General Fitness
Thigh adductor,"The thigh adductor machine is a lower-body exercise that targets the muscles of the inner thighs. It is usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of lower-body training.",Strength,Adductors,Machine,Intermediate,9,Average,3,8,Muscle Gain
Thigh abductor,"The thigh abductor is a lower-body exercise that targets the muscles of the outer hips and glutes. It is usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of lower-body training.",Strength,Abductors,Machine,Intermediate,8.2,Average,3,8,Muscle Gain
Lateral hop,"The lateral hop is an explosive bodyweight exercise that consists of a two-legged hop to the side. It targets the lower body, including the quads, glutes, and hamstrings. Performed for reps, it also provides a serious cardiovascular challenge. It can be performed for time or reps and is especially effective in a fat-loss or athleticism-focused circuit or workout.",Plyometrics,Adductors,Body Only,Intermediate,7.3,Average,3,10,General Fitness
Single-leg lying cross-over stretch,"The single-leg lying cross-over stretch is a simple bodyweight stretch targeting the lower back, hips, and glutes. It involves rotating a single leg over the body while lying flat on the back. It is commonly included in dynamic warm-ups, but can also be performed as full-body mobility work anytime.",Stretching,Abductors,Body Only,Beginner,1.6,Average,3,10,General Fitness
Standing hip circle,"The standing hip circle is a bodyweight exercise targeting the hips and abductor muscles. It is a classic way to ""limber up"" after sitting for a long period or before a lower-body workout or sports. It requires no equipment and can be helpful for everyone from beginners to advanced fitness enthusiasts.",Stretching,Abductors,Body Only,Intermediate,0,Average,3,10,General Fitness
Brachialis SMR,"Brachialis self-myofascial release (SMR) is a self-administered soft-tissue treatment for the upper body, usually using a foam roller, lacrosse ball, or other ""trigger point"" massage tool. By applying pressure strategically to the biceps or brachialis muscles of the upper arm, some people find they can cause this often painful and tight muscle to relax or ""release."" Brachialis SMR is often accompanied by SMR on the triceps muscles or pectorals, or by stretches that target the biceps or pecs.",Stretching,Biceps,Foam Roll,Beginner,3.2,Average,3,10,General Fitness
Wide-grip barbell curl,"The wide-grip barbell curl is a variation of the classic barbell curl with the grip wider than shoulder width. It is thought that this helps build the inner or ""short"" head of the biceps muscles. This movement is usually performed for moderate to high reps, such as 8-12 reps per set.",Strength,Biceps,Barbell,Beginner,9.3,Average,3,8,Muscle Gain
EZ-bar spider curl,"The EZ-bar spider curl is an exercise targeting the biceps and performed face down on either an incline bench or on the flat side of a preacher bench. The EZ-bar makes for a more comfortable wrist position, while the angle helps to isolate the biceps and limit involvement of the shoulder muscles. This curl variation is usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of upper-body or arm-focused training.",Strength,Biceps,Barbell,Intermediate,9.2,Average,3,8,Muscle Gain
Barbell Curl,"The barbell curl is an arm exercise that is also one of the most recognizable movements in all of bodybuilding and fitness. It helps build sleeve-popping biceps and allows heavier loading than many other curl variations. It is usually performed in moderate to high reps, such as 8-12 reps per set, as part of the arm-focused portion of any workout.",Strength,Biceps,Barbell,Intermediate,9,Average,3,8,Muscle Gain
Close-grip EZ-bar curl,"The close-grip EZ-bar curl is an exercise targeting the biceps, particularly the long head. The main difference between this exercise and standard EZ-bar curls is that the hands are positioned closer together on the bar. It is thought that this helps build the outer biceps head and the peak. This curl variation is usually performed for moderate to high reps, such as 8-12 reps per set.",Strength,Biceps,Barbell,Beginner,8.9,Average,3,8,Muscle Gain
Preacher Curl,"The EZ-bar preacher curl is a classic exercise for building bigger biceps. This move is all about isolation. With the back of the upper arms against the pad, it’s next to impossible to cheat. Go light, get a great pump, and build that peak!",Strength,Biceps,Barbell,Intermediate,8.8,Average,3,8,Muscle Gain
Close-grip barbell curl,"The close-grip barbell curl is a curl variation where the hands are closer than shoulder width. It is thought that this helps build the outer biceps head and the peak. This curl variation is usually performed for moderate to high reps, such as 8-12 reps per set.",Strength,Biceps,Barbell,Beginner,8.6,Average,3,8,Muscle Gain
Drag curl,"The drag curl is a biceps exercise that attempts to remove the influence of the front deltoids on the classic curl. With the elbows kept back, the barbell ""drags"" up the torso. It is usually performed for moderate to high reps, such as 8-15 reps per set, as part of an upper-body or arms-focused workout.",Strength,Biceps,Barbell,Beginner,8.5,Average,3,8,Muscle Gain
Reverse-grip barbell curl,"The reverse-grip barbell curl is a variation on the biceps curl where the palms face downward. The switch from an underhand to an overhand grip brings the forearm and brachialis muscles more into the exercise. If it is uncomfortable to the wrists, try performing it on the angles of an EZ-curl bar.",Strength,Biceps,Barbell,Intermediate,8.2,Average,3,8,Muscle Gain
Hammer Curls,"This curl is performed simultaneously with dumbbells but without wrist supination. Throughout each rep, the wrists remain neutral, like a carpenter hammering a nail.",Strength,Biceps,Dumbbell,Intermediate,9.1,Average,3,8,Muscle Gain
Biceps curl to shoulder press,"The biceps curl to shoulder press is a dumbbell complex that combines two exercises that build and strengthen the biceps and shoulders or deltoids. It is usually performed one rep of each movement at a time, although you could perform more reps of each, or increase the reps in successive rounds (e.g., 1 rep in round 1, 2 reps in round 2, etc.). No matter how you structure the sets and reps, it is a time-efficient way to hit two crucial upper-body muscles in any workout.",Strength,Biceps,Dumbbell,Beginner,9.1,Average,3,8,Muscle Gain
Concentration curl,"The concentration curl is a classic exercise for building the biceps one arm at a time. It can be performed bent over or kneeling, but is more often performed seated on a bench. It's great for emphasizing the biceps peak and is often used to finish a biceps workout. Like most curl variations, these are usually performed for moderate to high reps, such as 8-12 reps per set or more.",Strength,Biceps,Dumbbell,Intermediate,9,Average,3,8,Muscle Gain
Dumbbell Bicep Curl,"The dumbbell biceps curl is a single-joint exercise for building bigger and stronger biceps. Popular among gym goers of all experience levels, this move can be done seated or standing. It is generally performed for moderate to high reps, such as 8-12 reps or higher, as part of the arm-focused portion of a workout.",Strength,Biceps,Dumbbell,Intermediate,8.9,Average,3,8,Muscle Gain
Cross-body hammer curl,"The cross-body hammer curl is a dumbbell exercise that targets the biceps, brachialis, and forearm muscles. Rather than lifting the weights directly in front of the body, you lift them across the torso. Throughout each rep, the wrists remain neutral, like a carpenter hammering a nail. This helps isolate the brachialis muscles on each arm. It is generally performed for moderate to high reps, such as 8-12 reps or more, as part of the arm-focused portion of a workout.",Strength,Biceps,Dumbbell,Beginner,8.9,Average,3,8,Muscle Gain
